#max_loss=300美元 or 2500港币
symbol,name,market,exchange,sector,timeframes
VOO,VOO,US_STOCK,NYSE,宽基ETF,1W-1D
VEA,VEA,US_STOCK,NYSE,宽基ETF,1W-1D
VWO,VWO,US_STOCK,NYSE,宽基ETF,1W-1D
IAU,IAU,US_ETF,NYSE,黄金,1W-1D
QQQ,QQQ,US_STOCK,NASDAQ,科技ETF,1W-1D
SPY,SPY,US_STOCK,NYSE,宽基ETF,1W-1D
IWM,IWM,US_STOCK,NYSE,小盘ETF,1W-1D
EEM,EEM,US_STOCK,NYSE,新兴市场ETF,1W-1D
EFA,EFA,US_STOCK,NYSE,发达市场ETF,1W-1D
XLK,XLK,US_STOCK,NYSE,科技ETF,1W-1D
XLC,XLC,US_STOCK,NYSE,通信服务ETF,1W-1D
XLF,XLF,US_STOCK,NYSE,金融ETF,1W-1D
XLV,XLV,US_STOCK,NYSE,医疗ETF,1W-1D
XLY,XLY,US_STOCK,NYSE,可选消费ETF,1W-1D
XLP,XLP,US_STOCK,NYSE,必需消费ETF,1W-1D
XLE,XLE,US_STOCK,NYSE,能源ETF,1W-1D
XLI,XLI,US_STOCK,NYSE,工业ETF,1W-1D
XLB,XLB,US_STOCK,NYSE,材料ETF,1W-1D
XLRE,XLRE,US_STOCK,NYSE,房地产ETF,1W-1D
XLU,XLU,US_STOCK,NYSE,公用事业ETF,1W-1D
SLV,SLV,US_ETF,NYSE,白银,1W-1D
TLT,TLT,US_ETF,NYSE,长期国债,1W-1D
IEF,IEF,US_ETF,NYSE,中期国债,1W-1D
USO,USO,US_ETF,NYSE,原油,1W-1D
VGK,VGK,US_STOCK,NYSE,欧洲ETF,1W-1D
VSS,VSS,US_STOCK,NYSE,全球ETF,1W-1D
IBB,IBB,US_STOCK,NASDAQ,生物科技ETF,1W-1D
SOXX,SOXX,US_STOCK,NASDAQ,半导体ETF,1W-1D
CIBR,CIBR,US_STOCK,NASDAQ,网络安全ETF,1W-1D
IYG,IYG,US_STOCK,NYSE,金融服务ETF,1W-1D
DBC,DBC,US_ETF,NYSE,商品指数ETF,1W-1D
VCR,VCR,US_STOCK,NYSE,可选消费ETF,1W-1D
2800,2800,HK_STOCK,HKEX,港股ETF,1W-1D
3033,3033,HK_STOCK,HKEX,港股ETF,1W-1D
2823,2823,HK_STOCK,HKEX,港股ETF,1W-1D
